------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	C         12.01099968
  2.	H          1.00800002
  3.	O         15.99899960
  4.	N         14.00699997
  5.	HE         4.00299978
  6.	AR        39.94800186
------------------------------


------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N      HE      AR
   30. OCHO                  G      0           45.016999    200.00   6000.00       1       1       2       0       0       0
   31. C2H6                  G      0           30.069999    300.00   4000.00       2       6       0       0       0       0
   32. C2H5                  G      0           29.061999    300.00   4000.00       2       5       0       0       0       0
   33. C2H5O2H               G      0           62.067999    300.00   4000.00       2       6       2       0       0       0
   34. C2H5O2                G      0           61.059999    300.00   4000.00       2       5       2       0       0       0
   35. C2H4                  G      0           28.053999    300.00   4000.00       2       4       0       0       0       0
   36. C2H3                  G      0           27.045999    300.00   4000.00       2       3       0       0       0       0
   37. C2H2                  G      0           26.037999    300.00   4000.00       2       2       0       0       0       0
   38. C2H                   G      0           25.029999    300.00   4000.00       2       1       0       0       0       0
   39. C2H5OH                G      0           46.068999    300.00   4000.00       2       6       1       0       0       0
   40. C2H5O                 G      0           45.060999    300.00   5000.00       2       5       1       0       0       0
   41. PC2H4OH               G      0           45.060999    300.00   4000.00       2       5       1       0       0       0
   42. SC2H4OH               G      0           45.060999    300.00   4000.00       2       5       1       0       0       0
   43. C2H4O2H               G      0           61.059999    300.00   4000.00       2       5       2       0       0       0
   44. C2H4O1-2              G      0           44.052999    300.00   4000.00       2       4       1       0       0       0
   45. C2H3O1-2              G      0           43.044999    200.00   6000.00       2       3       1       0       0       0
   46. CH3CHO                G      0           44.052999    300.00   4000.00       2       4       1       0       0       0
   47. CH3CO                 G      0           43.044999    300.00   4000.00       2       3       1       0       0       0
   48. CH2CHO                G      0           43.044999    300.00   4000.00       2       3       1       0       0       0
   49. CH2CO                 G      0           42.036999    300.00   4000.00       2       2       1       0       0       0
   50. HCCO                  G      0           41.028999    300.00   4000.00       2       1       1       0       0       0
   51. HCOOH                 G      0           46.024999    300.00   4000.00       1       2       2       0       0       0
   52. CH3CO3                G      0           75.042998    300.00   4000.00       2       3       3       0       0       0
   53. CH3CO3H               G      0           76.050998    300.00   4000.00       2       4       3       0       0       0
   54. CH2OHCHO              G      0           60.051999    300.00   4000.00       2       4       2       0       0       0
   55. CHOCHO                G      0           58.035999    300.00   4000.00       2       2       2       0       0       0
   56. O2C2H4O2H             G      0           93.057998    300.00   4000.00       2       5       4       0       0       0
   57. HO2CH2CHO             G      0           76.050998    300.00   4000.00       2       4       3       0       0       0
   58. CH3OCHO               G      0           60.051999    300.00   4000.00       2       4       2       0       0       0
   59. CH3OCO                G      0           59.043999    300.00   5000.00       2       3       2       0       0       0
   60. C3H8                  G      0           44.096999    300.00   4000.00       3       8       0       0       0       0
   61. IC3H7                 G      0           43.088999    300.00   4000.00       3       7       0       0       0       0
   62. NC3H7                 G      0           43.088999    300.00   4000.00       3       7       0       0       0       0
   63. C3H6                  G      0           42.080999    298.00   6000.00       3       6       0       0       0       0
   64. C3H5-A                G      0           41.072999    298.00   6000.00       3       5       0       0       0       0
   65. C3H5-S                G      0           41.072999    300.00   5000.00       3       5       0       0       0       0
   66. C3H5-T                G      0           41.072999    300.00   5000.00       3       5       0       0       0       0
   67. C3H5O                 G      0           57.071999    300.00   4000.00       3       5       1       0       0       0
   68. C3H6O                 G      0           58.079999    300.00   4000.00       3       6       1       0       0       0
   69. CH3CHCHO              G      0           57.071999    300.00   5000.00       3       5       1       0       0       0
   70. AC4H7OOH              G      0           88.105998    300.00   5000.00       4       8       2       0       0       0
   71. CH3CHCO               G      0           56.063999    300.00   5000.00       3       4       1       0       0       0
   72. AC3H5OOH              G      0           74.078998    298.00   6000.00       3       6       2       0       0       0
   73. C3H6OH1-2             G      0           59.087999    300.00   5000.00       3       7       1       0       0       0
   74. C3H6OH2-1             G      0           59.087999    300.00   5000.00       3       7       1       0       0       0
   75. HOC3H6O2              G      0           91.085998    300.00   5000.00       3       7       3       0       0       0
   76. SC3H5OH               G      0           58.079999    300.00   5000.00       3       6       1       0       0       0
   77. C3H5OH                G      0           58.079999    300.00   4000.00       3       6       1       0       0       0
   78. CH2CCH2OH             G      0           57.071999    300.00   5000.00       3       5       1       0       0       0
   79. C3H4-P                G      0           40.064999    300.00   4000.00       3       4       0       0       0       0
   80. C3H4-A                G      0           40.064999    300.00   4000.00       3       4       0       0       0       0
   81. C3H3                  G      0           39.056999    300.00   4000.00       3       3       0       0       0       0
   82. C3H2                  G      0           38.048999    300.00   4000.00       3       2       0       0       0       0
   83. C2H5CHO               G      0           58.079999    300.00   4000.00       3       6       1       0       0       0
   84. CH2CH2CHO             G      0           57.071999    300.00   5000.00       3       5       1       0       0       0
   85. RALD3                 G      0           57.071999    300.00   4000.00       3       5       1       0       0       0
   86. C2H3CHO               G      0           56.063999    300.00   4000.00       3       4       1       0       0       0
   87. CH3COCH3              G      0           58.079999    300.00   4000.00       3       6       1       0       0       0
   88. CH3COCH2              G      0           57.071999    300.00   4000.00       3       5       1       0       0       0
   89. NC4H10                G      0           58.123999    300.00   4000.00       4      10       0       0       0       0
   90. PC4H9                 G      0           57.115999    300.00   4000.00       4       9       0       0       0       0
   91. SC4H9                 G      0           57.115999    300.00   4000.00       4       9       0       0       0       0
   92. IC4H10                G      0           58.123999    300.00   4000.00       4      10       0       0       0       0
   93. IC4H9                 G      0           57.115999    300.00   4000.00       4       9       0       0       0       0
   94. TC4H9                 G      0           57.115999    300.00   4000.00       4       9       0       0       0       0
   95. IC4H8                 G      0           56.107999    300.00   4000.00       4       8       0       0       0       0
   96. IC4H7                 G      0           55.099999    300.00   4000.00       4       7       0       0       0       0
   97. IC4H7O                G      0           71.098998    300.00   5000.00       4       7       1       0       0       0
   98. C4H8-1                G      0           56.107999    300.00   4000.00       4       8       0       0       0       0
   99. C4H8-2                G      0           56.107999    300.00   5000.00       4       8       0       0       0       0
  100. C4H71-3               G      0           55.099999    300.00   4000.00       4       7       0       0       0       0
  101. C4H71-4               G      0           55.099999    300.00   4000.00       4       7       0       0       0       0
  102. C4H71-O               G      0           71.098998    300.00   5000.00       4       7       1       0       0       0
  103. C4H6                  G      0           54.091999    200.00   6000.00       4       6       0       0       0       0
  104. C4H5                  G      0           53.083999    300.00   4000.00       4       5       0       0       0       0
  105. C4H4                  G      0           52.075999    300.00   4000.00       4       4       0       0       0       0
  106. C4H3                  G      0           51.067999    300.00   4000.00       4       3       0       0       0       0
  107. C4H2                  G      0           50.059999    300.00   4000.00       4       2       0       0       0       0
  108. C6H6                  G      0           78.113998    300.00   4000.00       6       6       0       0       0       0
  109. FULVENE               G      0           78.113998    200.00   5000.00       6       6       0       0       0       0
  110. C6H5                  G      0           77.105998    300.00   4000.00       6       5       0       0       0       0
  111. C5H6                  G      0           66.102998    200.00   6000.00       5       6       0       0       0       0
  112. C5H5                  G      0           65.094998    300.00   4000.00       5       5       0       0       0       0
  113. MCPTD                 G      0           80.129998    300.00   4000.00       6       8       0       0       0       0
  114. C10H8                 G      0          128.173997    300.00   4000.00      10       8       0       0       0       0
  115. NO                    G      0           30.006000    200.00   6000.00       0       0       1       1       0       0
  116. N2O                   G      0           44.013000    200.00   6000.00       0       0       1       2       0       0
  117. NO2                   G      0           46.004999    200.00   6000.00       0       0       2       1       0       0
  118. HNO                   G      0           31.014000    200.00   6000.00       0       1       1       1       0       0
  119. HNO2                  G      0           47.012999    200.00   6000.00       0       1       2       1       0       0
  120. HONO                  G      0           47.012999    200.00   6000.00       0       1       2       1       0       0
  121. HONO2                 G      0           63.011999    200.00   6000.00       0       1       3       1       0       0
  122. HNCO                  G      0           43.024999    200.00   6000.00       1       1       1       1       0       0
  123. CH3NH                 G      0           30.050000    200.00   6000.00       1       4       0       1       0       0
  124. N2H2                  G      0           30.030000    200.00   6000.00       0       2       0       2       0       0
  125. H2NN                  G      0           30.030000    200.00   6000.00       0       2       0       2       0       0
  126. NH2OH                 G      0           33.030000    200.00   6000.00       0       3       1       1       0       0
  127. HNOH                  G      0           32.022000    200.00   6000.00       0       2       1       1       0       0
  128. NH3                   G      0           17.031000    200.00   4000.00       0       3       0       1       0       0
  129. N2H4                  G      0           32.046000    200.00   6000.00       0       4       0       2       0       0
  130. N                     G      0           14.007000    200.00   6000.00       0       0       0       1       0       0
  131. NO3                   G      0           62.003999    200.00   6000.00       0       0       3       1       0       0
  132. NH                    G      0           15.015000    200.00   6000.00       0       1       0       1       0       0
  133. NNH                   G      0           29.022000    200.00   6000.00       0       1       0       2       0       0
  134. NH2                   G      0           16.023000    200.00   3000.00       0       2       0       1       0       0
  135. H2NO                  G      0           32.022000    200.00   6000.00       0       2       1       1       0       0
  136. N2H3                  G      0           31.038000    200.00   6000.00       0       3       0       2       0       0
  137. HCN                   G      0           27.026000    200.00   6000.00       1       1       0       1       0       0
  138. HNC                   G      0           27.026000    200.00   6000.00       1       1       0       1       0       0
  139. HCNO                  G      0           43.024999    200.00   6000.00       1       1       1       1       0       0
  140. HOCN                  G      0           43.024999    200.00   6000.00       1       1       1       1       0       0
  141. CH2NO                 G      0           44.032999    200.00   6000.00       1       2       1       1       0       0
  142. CH3NO                 G      0           45.040999    200.00   6000.00       1       3       1       1       0       0
  143. CH3NO2                G      0           61.039999    200.00   6000.00       1       3       2       1       0       0
  144. CH3ONO                G      0           61.039999    200.00   6000.00       1       3       2       1       0       0
  145. CH3ONO2               G      0           77.038998    200.00   6000.00       1       3       3       1       0       0
  146. CH3CN                 G      0           41.052999    200.00   6000.00       2       3       0       1       0       0
  147. CN                    G      0           26.018000    200.00   6000.00       1       0       0       1       0       0
  148. NCN                   G      0           40.025000    200.00   6000.00       1       0       0       2       0       0
  149. NCO                   G      0           42.016999    200.00   6000.00       1       0       1       1       0       0
  150. HNCN                  G      0           41.033000    200.00   6000.00       1       1       0       2       0       0
  151. H2CN                  G      0           28.034000    200.00   6000.00       1       2       0       1       0       0
  152. HCNH                  G      0           28.034000    200.00   6000.00       1       2       0       1       0       0
  153. C2N2                  G      0           52.035999    200.00   6000.00       2       0       0       2       0       0
  154. CH2CN                 G      0           40.044999    300.00   5000.00       2       2       0       1       0       0
  155. CH2NH                 G      0           29.042000    200.00   6000.00       1       3       0       1       0       0
  156. CH3NH2                G      0           31.058000    200.00   6000.00       1       5       0       1       0       0
  157. CH2NH2                G      0           30.050000    200.00   6000.00       1       4       0       1       0       0
------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High       C       H       O       N      HE      AR
------------------------------------------------------------------------------------------------------------------------------
   11. HO2                   G      0           33.005999    200.00   6000.00       0       1       2       0       0       0
  133. NNH                   G      0           29.022000    200.00   6000.00       0       1       0       2       0       0
  118. HNO                   G      0           31.014000    200.00   6000.00       0       1       1       1       0       0
    5. H                     G      0            1.008000    200.00   6000.00       0       1       0       0       0       0
  128. NH3                   G      0           17.031000    200.00   4000.00       0       3       0       1       0       0
  136. N2H3                  G      0           31.038000    200.00   6000.00       0       3       0       2       0       0
  126. NH2OH                 G      0           33.030000    200.00   6000.00       0       3       1       1       0       0
    9. OH                    G      0           17.007000    200.00   6000.00       0       1       1       0       0       0
  120. HONO                  G      0           47.012999    200.00   6000.00       0       1       2       1       0       0
  119. HNO2                  G      0           47.012999    200.00   6000.00       0       1       2       1       0       0
  121. HONO2                 G      0           63.011999    200.00   6000.00       0       1       3       1       0       0
  134. NH2                   G      0           16.023000    200.00   3000.00       0       2       0       1       0       0
  127. HNOH                  G      0           32.022000    200.00   6000.00       0       2       1       1       0       0
    4. H2                    G      0            2.016000    200.00   6000.00       0       2       0       0       0       0
   10. H2O2                  G      0           34.013999    200.00   6000.00       0       2       2       0       0       0
  124. N2H2                  G      0           30.030000    200.00   6000.00       0       2       0       2       0       0
  125. H2NN                  G      0           30.030000    200.00   6000.00       0       2       0       2       0       0
  135. H2NO                  G      0           32.022000    200.00   6000.00       0       2       1       1       0       0
    8. H2O                   G      0           18.015000    200.00   6000.00       0       2       1       0       0       0
  132. NH                    G      0           15.015000    200.00   6000.00       0       1       0       1       0       0
  116. N2O                   G      0           44.013000    200.00   6000.00       0       0       1       2       0       0
    7. O                     G      0           15.999000    200.00   6000.00       0       0       1       0       0       0
  117. NO2                   G      0           46.004999    200.00   6000.00       0       0       2       1       0       0
    6. O2                    G      0           31.997999    200.00   6000.00       0       0       2       0       0       0
  129. N2H4                  G      0           32.046000    200.00   6000.00       0       4       0       2       0       0
  115. NO                    G      0           30.006000    200.00   6000.00       0       0       1       1       0       0
    1. AR                    G      0           39.948002    200.00   6000.00       0       0       0       0       0       1
    3. HE                    G      0            4.003000    200.00   6000.00       0       0       0       0       1       0
    2. N2                    G      0           28.014000    200.00   6000.00       0       0       0       2       0       0
  130. N                     G      0           14.007000    200.00   6000.00       0       0       0       1       0       0
  131. NO3                   G      0           62.003999    200.00   6000.00       0       0       3       1       0       0
   15. CH4                   G      0           16.043000    300.00   4000.00       1       4       0       0       0       0
   21. CH3O2H                G      0           48.040999    300.00   4000.00       1       4       2       0       0       0
  156. CH3NH2                G      0           31.058000    200.00   6000.00       1       5       0       1       0       0
  144. CH3ONO                G      0           61.039999    200.00   6000.00       1       3       2       1       0       0
  123. CH3NH                 G      0           30.050000    200.00   6000.00       1       4       0       1       0       0
  143. CH3NO2                G      0           61.039999    200.00   6000.00       1       3       2       1       0       0
  155. CH2NH                 G      0           29.042000    200.00   6000.00       1       3       0       1       0       0
  152. HCNH                  G      0           28.034000    200.00   6000.00       1       2       0       1       0       0
   17. CH2                   G      0           14.027000    300.00   4000.00       1       2       0       0       0       0
   18. CH2(S)                G      0           14.027000    300.00   4000.00       1       2       0       0       0       0
   12. CO                    G      0           28.009999    200.00   6000.00       1       0       1       0       0       0
  151. H2CN                  G      0           28.034000    200.00   6000.00       1       2       0       1       0       0
   25. CH2OH                 G      0           31.033999    300.00   4000.00       1       3       1       0       0       0
  157. CH2NH2                G      0           30.050000    200.00   6000.00       1       4       0       1       0       0
   24. CH3O                  G      0           31.033999    300.00   4000.00       1       3       1       0       0       0
   16. CH3                   G      0           15.035000    300.00   4000.00       1       3       0       0       0       0
  142. CH3NO                 G      0           45.040999    200.00   6000.00       1       3       1       1       0       0
   23. CH3OH                 G      0           32.041999    300.00   4000.00       1       4       1       0       0       0
  145. CH3ONO2               G      0           77.038998    200.00   6000.00       1       3       3       1       0       0
   22. CH3O2                 G      0           47.032999    300.00   4000.00       1       3       2       0       0       0
   51. HCOOH                 G      0           46.024999    300.00   4000.00       1       2       2       0       0       0
   13. CO2                   G      0           44.008999    200.00   6000.00       1       0       2       0       0       0
  148. NCN                   G      0           40.025000    200.00   6000.00       1       0       0       2       0       0
  138. HNC                   G      0           27.026000    200.00   6000.00       1       1       0       1       0       0
  140. HOCN                  G      0           43.024999    200.00   6000.00       1       1       1       1       0       0
  139. HCNO                  G      0           43.024999    200.00   6000.00       1       1       1       1       0       0
  150. HNCN                  G      0           41.033000    200.00   6000.00       1       1       0       2       0       0
  122. HNCO                  G      0           43.024999    200.00   6000.00       1       1       1       1       0       0
   20. CH                    G      0           13.019000    300.00   4000.00       1       1       0       0       0       0
  147. CN                    G      0           26.018000    200.00   6000.00       1       0       0       1       0       0
  149. NCO                   G      0           42.016999    200.00   6000.00       1       0       1       1       0       0
   27. HCO                   G      0           29.017999    200.00   6000.00       1       1       1       0       0       0
  137. HCN                   G      0           27.026000    200.00   6000.00       1       1       0       1       0       0
   30. OCHO                  G      0           45.016999    200.00   6000.00       1       1       2       0       0       0
   19. C                     G      0           12.011000    200.00   6000.00       1       0       0       0       0       0
   14. HOCO                  G      0           45.016999    200.00   6000.00       1       1       2       0       0       0
  141. CH2NO                 G      0           44.032999    200.00   6000.00       1       2       1       1       0       0
   28. HO2CHO                G      0           62.023998    300.00   5000.00       1       2       3       0       0       0
   26. CH2O                  G      0           30.025999    300.00   4000.00       1       2       1       0       0       0
   29. HOCHO                 G      0           46.024999    200.00   6000.00       1       2       2       0       0       0
   56. O2C2H4O2H             G      0           93.057998    300.00   4000.00       2       5       4       0       0       0
   35. C2H4                  G      0           28.053999    300.00   4000.00       2       4       0       0       0       0
   53. CH3CO3H               G      0           76.050998    300.00   4000.00       2       4       3       0       0       0
   58. CH3OCHO               G      0           60.051999    300.00   4000.00       2       4       2       0       0       0
   54. CH2OHCHO              G      0           60.051999    300.00   4000.00       2       4       2       0       0       0
   40. C2H5O                 G      0           45.060999    300.00   5000.00       2       5       1       0       0       0
   41. PC2H4OH               G      0           45.060999    300.00   4000.00       2       5       1       0       0       0
   42. SC2H4OH               G      0           45.060999    300.00   4000.00       2       5       1       0       0       0
   46. CH3CHO                G      0           44.052999    300.00   4000.00       2       4       1       0       0       0
   33. C2H5O2H               G      0           62.067999    300.00   4000.00       2       6       2       0       0       0
   44. C2H4O1-2              G      0           44.052999    300.00   4000.00       2       4       1       0       0       0
   31. C2H6                  G      0           30.069999    300.00   4000.00       2       6       0       0       0       0
   32. C2H5                  G      0           29.061999    300.00   4000.00       2       5       0       0       0       0
   43. C2H4O2H               G      0           61.059999    300.00   4000.00       2       5       2       0       0       0
   34. C2H5O2                G      0           61.059999    300.00   4000.00       2       5       2       0       0       0
   39. C2H5OH                G      0           46.068999    300.00   4000.00       2       6       1       0       0       0
   59. CH3OCO                G      0           59.043999    300.00   5000.00       2       3       2       0       0       0
   45. C2H3O1-2              G      0           43.044999    200.00   6000.00       2       3       1       0       0       0
   48. CH2CHO                G      0           43.044999    300.00   4000.00       2       3       1       0       0       0
   52. CH3CO3                G      0           75.042998    300.00   4000.00       2       3       3       0       0       0
   47. CH3CO                 G      0           43.044999    300.00   4000.00       2       3       1       0       0       0
  146. CH3CN                 G      0           41.052999    200.00   6000.00       2       3       0       1       0       0
   36. C2H3                  G      0           27.045999    300.00   4000.00       2       3       0       0       0       0
  154. CH2CN                 G      0           40.044999    300.00   5000.00       2       2       0       1       0       0
   50. HCCO                  G      0           41.028999    300.00   4000.00       2       1       1       0       0       0
   49. CH2CO                 G      0           42.036999    300.00   4000.00       2       2       1       0       0       0
   55. CHOCHO                G      0           58.035999    300.00   4000.00       2       2       2       0       0       0
   37. C2H2                  G      0           26.037999    300.00   4000.00       2       2       0       0       0       0
  153. C2N2                  G      0           52.035999    200.00   6000.00       2       0       0       2       0       0
   57. HO2CH2CHO             G      0           76.050998    300.00   4000.00       2       4       3       0       0       0
   38. C2H                   G      0           25.029999    300.00   4000.00       2       1       0       0       0       0
   64. C3H5-A                G      0           41.072999    298.00   6000.00       3       5       0       0       0       0
   60. C3H8                  G      0           44.096999    300.00   4000.00       3       8       0       0       0       0
   63. C3H6                  G      0           42.080999    298.00   6000.00       3       6       0       0       0       0
   62. NC3H7                 G      0           43.088999    300.00   4000.00       3       7       0       0       0       0
   61. IC3H7                 G      0           43.088999    300.00   4000.00       3       7       0       0       0       0
   83. C2H5CHO               G      0           58.079999    300.00   4000.00       3       6       1       0       0       0
   72. AC3H5OOH              G      0           74.078998    298.00   6000.00       3       6       2       0       0       0
   68. C3H6O                 G      0           58.079999    300.00   4000.00       3       6       1       0       0       0
   75. HOC3H6O2              G      0           91.085998    300.00   5000.00       3       7       3       0       0       0
   76. SC3H5OH               G      0           58.079999    300.00   5000.00       3       6       1       0       0       0
   87. CH3COCH3              G      0           58.079999    300.00   4000.00       3       6       1       0       0       0
   73. C3H6OH1-2             G      0           59.087999    300.00   5000.00       3       7       1       0       0       0
   77. C3H5OH                G      0           58.079999    300.00   4000.00       3       6       1       0       0       0
   74. C3H6OH2-1             G      0           59.087999    300.00   5000.00       3       7       1       0       0       0
   85. RALD3                 G      0           57.071999    300.00   4000.00       3       5       1       0       0       0
   67. C3H5O                 G      0           57.071999    300.00   4000.00       3       5       1       0       0       0
   82. C3H2                  G      0           38.048999    300.00   4000.00       3       2       0       0       0       0
   81. C3H3                  G      0           39.056999    300.00   4000.00       3       3       0       0       0       0
   80. C3H4-A                G      0           40.064999    300.00   4000.00       3       4       0       0       0       0
   71. CH3CHCO               G      0           56.063999    300.00   5000.00       3       4       1       0       0       0
   86. C2H3CHO               G      0           56.063999    300.00   4000.00       3       4       1       0       0       0
   79. C3H4-P                G      0           40.064999    300.00   4000.00       3       4       0       0       0       0
   69. CH3CHCHO              G      0           57.071999    300.00   5000.00       3       5       1       0       0       0
   78. CH2CCH2OH             G      0           57.071999    300.00   5000.00       3       5       1       0       0       0
   88. CH3COCH2              G      0           57.071999    300.00   4000.00       3       5       1       0       0       0
   84. CH2CH2CHO             G      0           57.071999    300.00   5000.00       3       5       1       0       0       0
   65. C3H5-S                G      0           41.072999    300.00   5000.00       3       5       0       0       0       0
   66. C3H5-T                G      0           41.072999    300.00   5000.00       3       5       0       0       0       0
   98. C4H8-1                G      0           56.107999    300.00   4000.00       4       8       0       0       0       0
   90. PC4H9                 G      0           57.115999    300.00   4000.00       4       9       0       0       0       0
   91. SC4H9                 G      0           57.115999    300.00   4000.00       4       9       0       0       0       0
   93. IC4H9                 G      0           57.115999    300.00   4000.00       4       9       0       0       0       0
   94. TC4H9                 G      0           57.115999    300.00   4000.00       4       9       0       0       0       0
  107. C4H2                  G      0           50.059999    300.00   4000.00       4       2       0       0       0       0
   92. IC4H10                G      0           58.123999    300.00   4000.00       4      10       0       0       0       0
   89. NC4H10                G      0           58.123999    300.00   4000.00       4      10       0       0       0       0
   70. AC4H7OOH              G      0           88.105998    300.00   5000.00       4       8       2       0       0       0
   95. IC4H8                 G      0           56.107999    300.00   4000.00       4       8       0       0       0       0
   99. C4H8-2                G      0           56.107999    300.00   5000.00       4       8       0       0       0       0
  100. C4H71-3               G      0           55.099999    300.00   4000.00       4       7       0       0       0       0
   96. IC4H7                 G      0           55.099999    300.00   4000.00       4       7       0       0       0       0
  101. C4H71-4               G      0           55.099999    300.00   4000.00       4       7       0       0       0       0
  106. C4H3                  G      0           51.067999    300.00   4000.00       4       3       0       0       0       0
  102. C4H71-O               G      0           71.098998    300.00   5000.00       4       7       1       0       0       0
   97. IC4H7O                G      0           71.098998    300.00   5000.00       4       7       1       0       0       0
  105. C4H4                  G      0           52.075999    300.00   4000.00       4       4       0       0       0       0
  103. C4H6                  G      0           54.091999    200.00   6000.00       4       6       0       0       0       0
  104. C4H5                  G      0           53.083999    300.00   4000.00       4       5       0       0       0       0
  111. C5H6                  G      0           66.102998    200.00   6000.00       5       6       0       0       0       0
  112. C5H5                  G      0           65.094998    300.00   4000.00       5       5       0       0       0       0
  113. MCPTD                 G      0           80.129998    300.00   4000.00       6       8       0       0       0       0
  109. FULVENE               G      0           78.113998    200.00   5000.00       6       6       0       0       0       0
  110. C6H5                  G      0           77.105998    300.00   4000.00       6       5       0       0       0       0
  108. C6H6                  G      0           78.113998    300.00   4000.00       6       6       0       0       0       0
  114. C10H8                 G      0          128.173997    300.00   4000.00      10       8       0       0       0       0
------------------------------------------------------------------------------------------------------------------------------

------------------------------------------------------------------------------------------------------------------
  Species                  Shape       eps/kb          sigma             mu           alfa        zRot298         
------------------------------------------------------------------------------------------------------------------
    1. AR                    0       136.5000         3.3300         0.0000         0.0000         0.0000
    2. N2                    1        97.5300         3.6210         0.0000         1.7600         4.0000
    3. HE                    0        10.2000         2.5760         0.0000         0.0000         0.0000
    4. H2                    1        38.0000         2.9200         0.0000         0.7900       280.0000
    5. H                     0       145.0000         2.0500         0.0000         0.0000         0.0000
    6. O2                    1       107.4000         3.4580         0.0000         1.6000         3.8000
    7. O                     0        80.0000         2.7500         0.0000         0.0000         0.0000
    8. H2O                   2       572.4000         2.6050         1.8440         0.0000         4.0000
    9. OH                    1        80.0000         2.7500         0.0000         0.0000         0.0000
   10. H2O2                  2       107.4000         3.4580         0.0000         0.0000         3.8000
   11. HO2                   2       107.4000         3.4580         0.0000         0.0000         1.0000
   12. CO                    1        98.1000         3.6500         0.0000         1.9500         1.8000
   13. CO2                   1       244.0000         3.7630         0.0000         2.6500         2.1000
   14. HOCO                  2       498.0000         3.5900         0.0000         0.0000         2.0000
   15. CH4                   2       141.4000         3.7460         0.0000         2.6000        13.0000
   16. CH3                   1       144.0000         3.8000         0.0000         0.0000         0.0000
   17. CH2                   1       144.0000         3.8000         0.0000         0.0000         0.0000
   18. CH2(S)                1       144.0000         3.8000         0.0000         0.0000         0.0000
   19. C                     0        71.4000         3.2980         0.0000         0.0000         0.0000
   20. CH                    1        80.0000         2.7500         0.0000         0.0000         0.0000
   21. CH3O2H                2       481.8000         3.6260         0.0000         0.0000         1.0000
   22. CH3O2                 2       481.8000         3.6260         0.0000         0.0000         1.0000
   23. CH3OH                 2       481.8000         3.6260         0.0000         0.0000         1.0000
   24. CH3O                  2       417.0000         3.6900         1.7000         0.0000         2.0000
   25. CH2OH                 2       417.0000         3.6900         1.7000         0.0000         2.0000
   26. CH2O                  2       498.0000         3.5900         0.0000         0.0000         2.0000
   27. HCO                   2       498.0000         3.5900         0.0000         0.0000         0.0000
   28. HO2CHO                2       436.0000         3.9700         0.0000         0.0000         2.0000
   29. HOCHO                 2       436.0000         3.9700         0.0000         0.0000         2.0000
