-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
CH3OH                        32.0420       10.2539      -48.0365      -65.1735       57.5067       21.3790      -36.5385     -112.4825       75.9440
CH3O                         31.0340       10.1639        5.0410      -11.6419       55.9829       19.6989       16.0428      -57.7369       73.7797
CH2OH                        31.0340       11.3258       -4.1122      -21.4993       58.3460       18.4392        6.7507      -69.4571       76.2078
CH2O                         30.0260        8.4558      -26.0893      -41.6675       52.2759       14.8153      -17.7750      -83.5860       65.8110
HCO                          29.0180        8.2681        9.9889       -5.9837       53.5993       11.6621       17.0401      -48.2949       65.3351
HO2CHO                       62.0240       15.1650      -67.4023      -89.4103       73.8524       25.5711      -52.2872     -150.9308       98.6436
HOCHO                        46.0250        9.8688      -90.4721     -108.0715       59.0585       18.1173      -80.1802     -155.9649       75.7847
OCHO                         45.0170       10.0275      -30.9972      -49.1515       60.9206       15.9775      -21.6464      -97.9517       76.3054
C2H6                         30.0700       12.5424      -20.0407      -36.3630       54.7729       29.3195       -4.6460      -83.8933       79.2473
C2H5                         29.0620       12.1077       28.6041       11.3016       58.0621       25.7910       42.5145      -37.8493       80.3638
C2H5O2H                      62.0680       19.2902      -38.7367      -61.2195       75.4456       39.6334      -16.6588     -127.6809      111.0221
C2H5O2                       61.0600       18.1936       -6.8620      -28.8647       73.8347       36.3737       13.4935      -93.2127      106.7062
C2H4                         28.0540       10.2459       12.5449       -3.0728       52.4085       22.4874       24.6481      -47.1216       71.7697
C2H3                         27.0460       10.0515       70.8751       54.2361       55.8357       18.7810       81.4659        8.4339       73.0320
C2H2                         26.0380       10.5126       54.5336       40.2267       48.0097       16.2290       64.3451        0.0815       64.2636
C2H                          25.0300       10.0344      135.7524      120.5642       50.9670       12.5627      143.7376       79.2933       64.4443
C2H5OH                       46.0690       15.6022      -56.1506      -76.1310       67.0482       34.1524      -37.6583     -134.3112       96.6530
C2H5O                        45.0610       15.6272       -3.3123      -22.8707       65.6321       31.2494       13.8378      -79.4504       93.2883
PC2H4OH                      45.0610       16.3316       -6.1729      -27.3664       71.1192       30.6892       11.1574      -88.0954       99.2527
SC2H4OH                      45.0610       15.2993      -13.2148      -33.7932       69.0553       30.0181        3.5080      -92.5826       96.0905
C2H4O2H                      61.0600       20.3926       11.8367       -9.6906       72.2392       37.3289       33.1676      -73.7870      106.9546
C2H4O1-2                     44.0530       11.3764      -12.5803      -29.8749       58.0354       27.5390        2.0934      -79.2491       81.3425
C2H3O1-2                     43.0450       10.9272       39.3041       21.3217       60.3435       23.8317       52.3903      -28.9300       81.3202
CH3CHO                       44.0530       13.2166      -39.7180      -58.5137       63.0726       26.9111      -24.9836     -111.7699       86.7863
CH3CO                        43.0450       12.1336       -2.4633      -21.5081       63.9088       23.1932       10.4846      -74.3892       84.8738
CH2CHO                       43.0450       12.9810        3.0457      -15.7679       63.1328       23.8308       16.7619      -68.7029       85.4648
CH2CO                        42.0370       12.3618      -11.6113      -29.5161       60.0833       20.2498        0.3618      -79.4197       79.7815
HCCO                         41.0290       11.9407       42.6083       25.0619       58.8806       16.9329       53.1460      -23.3166       76.4627
HCOOH                        46.0250        9.8688      -90.4879     -108.0873       59.0585       18.1173      -80.1960     -155.9807       75.7847
CH3CO3                       75.0430       18.9992      -42.6381      -66.6070       80.4327       33.8590      -23.1345     -135.3575      112.2230
CH3CO3H                      76.0510       20.8012     -139.3283     -162.0153       76.1309       39.5293     -116.3434     -229.8362      113.4928
CH2OHCHO                     60.0520       15.8622      -73.2624      -95.2830       73.8946       30.8311      -56.1131     -157.7233      101.6102
CHOCHO                       58.0360       14.4326      -50.6855      -70.0885       65.1108       25.9628      -35.5761     -125.3037       89.7276
O2C2H4O2H                    93.0580       26.8300      -26.6840      -55.2701       95.9265       45.4059       -0.2507     -139.4921      139.2415
HO2CH2CHO                    76.0510       20.8012     -139.3283     -162.0153       76.1309       39.5293     -116.3434     -229.8362      113.4928
CH3OCHO                      60.0520        1.2557      -79.3838     -103.6204       81.3311       24.5646      -71.7501     -163.4947       91.7446
CH3OCO                       59.0440       16.1723      -38.0924      -59.6563       72.3619       28.9351      -21.6565     -120.7869       99.1304
C3H8                         44.0970       17.5793      -25.0190      -44.2671       64.5909       41.7838       -2.9286     -102.6368       99.7082
IC3H7                        43.0890       15.6582       21.5512        0.8932       69.3223       36.8865       40.9235      -59.1772      100.1007
NC3H7                        43.0890       17.0355       24.2109        3.5281       69.4054       37.5892       44.4632      -57.3462      101.8094
C3H6                         42.0810       15.2027        6.2443      -12.7244       63.6535       34.4393       24.6460      -68.3916       93.0377
C3H5-A                       41.0730       14.7652       42.0860       23.7286       61.6022       31.9633       59.6491      -30.1671       89.8162
C3H5-S                       41.0730       15.4185       63.3477       44.0724       64.6822       30.9690       80.4765      -11.8460       92.3225
C3H5-T                       41.0730       15.1536       59.7777       40.4577       64.8324       31.0657       76.7136      -15.3769       92.0905
C3H5O                        57.0720       18.2064       23.8473        2.0453       73.1608       36.5754       44.2800      -61.8765      106.1564
C3H6O                        58.0800       17.3599      -22.1704      -42.2142       67.2611       39.9345       -0.6618     -102.2394      101.5775
CH3CHCHO                     57.0720       17.0549       -4.9626      -25.5846       69.2014       36.3064       14.8518      -86.1501      101.0020
AC4H7OOH                     88.1060       28.2384      -12.7742      -40.1532       91.8758       58.4476       19.4417     -124.3090      143.7507
CH3CHCO                      56.0640       17.8575      -19.6127      -39.8114       67.7810       32.8756       -0.7278      -99.2502       98.5223
AC3H5OOH                     74.0790       25.0070      -10.1980      -34.6670       82.1108       44.7203       15.3882     -108.4313      123.8195
C3H6OH1-2                    59.0880       19.0738      -15.2629      -39.4218       81.0704       41.7741        7.3603     -109.9519      117.3122
C3H6OH2-1                    59.0880       20.4079      -24.4031      -47.3251       76.9197       41.0633       -1.5372     -115.3731      113.8359
HOC3H6O2                     91.0860       28.2797      -50.7342      -78.3427       92.6458       52.7502      -20.6487     -162.1945      141.5458
SC3H5OH                      58.0800       19.9270      -37.0130      -57.9713       70.3300       39.6733      -14.6536     -121.1443      106.4906
C3H5OH                       58.0800       19.1312      -34.8851      -55.9166       70.5754       40.0449      -12.9605     -118.7689      105.8084
CH2CCH2OH                    57.0720       18.1640       27.0873        4.3645       76.2509       34.9150       46.5991      -61.2495      107.8486
C3H4-P                       40.0650       14.5092       44.3120       26.6314       59.3309       27.7085       59.8623      -24.6784       84.5407
C3H4-A                       40.0650       14.0665       45.6239       28.2898       58.1681       27.9877       61.2624      -22.1803       83.4427
C3H3                         39.0570       15.5037       84.0005       65.7247       61.3284       24.8105       98.8182       13.0416       85.7766
C3H2                         38.0490       13.0734      125.7762      107.6501       60.8255       20.9825      138.3574       56.7879       81.5695
C2H5CHO                      58.0800       17.9830      -44.2509      -64.8185       69.0188       39.3221      -22.9902     -126.0455      103.0552
CH2CH2CHO                    57.0720       17.2805        4.2874      -18.0272       74.8813       35.5331       23.7355      -82.4374      106.1729
RALD3                        57.0720       18.6477       -5.5528      -26.5560       70.4806       39.3668       15.0741      -88.4140      103.4881
C2H3CHO                      56.0640       17.2024      -16.2687      -38.1849       73.5442       34.0166        2.7394     -101.5141      104.2535
CH3COCH3                     58.0800       17.7282      -51.3389      -72.3919       70.6477       38.7585      -30.4385     -134.5286      104.0900
CH3COCH2                     57.0720       17.4027       -7.9702      -29.8678       73.4819       34.9105       11.3827      -93.3223      104.7049
NC4H10                       58.1240       23.5567      -30.0625      -52.1174       74.0096       54.3400       -1.0297     -121.3285      120.2988
PC4H9                        57.1160       22.7896       17.2114       -6.1787       78.4902       50.5294       44.3902      -77.6054      121.9957
SC4H9                        57.1160       22.7209       14.0383       -9.1389       77.7757       50.2693       40.9766      -79.9149      120.8915
IC4H10                       58.1240       23.1666      -32.2627      -53.2061       70.2800       54.4284       -3.1802     -119.7977      116.6175
IC4H9                        57.1160       22.3789       15.1523       -7.5200       76.0812       50.8746       42.6059      -77.3300      119.9359
TC4H9                        57.1160       22.3685       10.0086      -11.7394       72.9797       50.7986       37.4536      -79.3763      116.8299
IC4H8                        56.1080       21.4701       -3.8032      -24.6570       69.9792       46.9085       21.5556      -89.0479      110.6035
IC4H7                        55.1000       21.8490       29.6898        7.8386       73.3259       47.1131       55.0175      -58.8391      113.8566
IC4H7O                       71.0990       23.6582       13.9065      -10.0939       80.5381       48.4108       40.6611      -82.9888      123.6499
C4H8-1                       56.1080       20.4694       -0.1131      -22.0458       73.5997       46.9945       25.1344      -88.7671      113.9016
C4H8-2                       56.1080       20.9210       -2.7231      -23.7290       70.4895       46.5363       22.2227      -88.1511      110.3738
C4H71-3                      55.1000       19.9377       31.9845       10.3191       72.7029       44.2663       56.1055      -55.2139      111.3194
C4H71-4                      55.1000       19.9707       47.9841       25.6628       74.9038       44.0371       71.9115      -41.3031      113.2146
C4H71-O                      71.0990       23.0516       12.9165      -11.0154       80.3084       49.8599       40.5079      -84.1064      124.6143
C4H6                         54.0920       17.7303       26.4845        5.5973       70.0911       39.1440       47.7003      -56.3474      104.0477
C4H5                         53.0840       19.2970       86.0911       64.3180       73.0640       38.8869      107.8685       -0.2823      108.1508
C4H4                         52.0760       17.1080       68.7900       49.0430       66.2650       32.6629       87.3491       -9.0443       96.3934
C4H3                         51.0680       17.9657      129.8801      109.3014       69.0561       30.4633      147.8482       49.3658       98.4824
C4H2                         50.0600       17.5574      110.0153       92.2494       59.6171       26.5987      126.3226       39.6326       86.6900
C6H6                         78.1140       19.5698       19.8038        0.6383       64.3136       50.5230       46.7544      -60.2446      106.9989
FULVENE                      78.1140       20.9867       51.6872       30.8620       69.8833       50.3045       78.9620      -34.3810      113.3430
C6H5                         77.1060       18.4009       80.6051       60.2305       68.3711       46.7821      105.7356       -2.4976      108.2332
C5H6                         66.1030       18.0018       32.0923       12.5709       65.5082       45.8668       56.6176      -47.7776      104.3952
C5H5                         65.0950       20.1747       62.4905       43.5820       63.4512       41.5138       85.4001      -15.0794      100.4795
MCPTD                        80.1300       22.8291       26.8237        4.6893       74.2764       56.8611       57.0795      -65.1943      122.2738
C10H8                       128.1740       32.4080       35.9851       12.0325       80.3781       78.9043       78.8613      -69.7905      148.6518
NO                           30.0060        7.1366       21.8104        6.8028       50.3609        8.1229       27.1249      -32.2701       59.3950
N2O                          44.0130        9.2296       19.4994        3.8325       52.5732       13.1973       27.6760      -38.5180       66.1940
NO2                          46.0050        8.8835        8.1701       -8.9325       57.3915       12.6692       15.9928      -54.4136       70.4063
HNO                          31.0140        8.0962       25.5319        9.8001       52.7913       11.4049       32.3856      -31.8070       64.1925
HNO2                         47.0130        9.2499      -10.5548      -27.5445       57.0124       15.9790       -1.3278      -73.4123       72.0845
HONO                         47.0130       11.0539      -18.8035      -36.8896       60.6915       16.5734       -8.6713      -86.1662       77.4949
HONO2                        63.0120       12.9230      -32.0969      -51.0966       63.7571       21.9554      -18.9830     -104.2540       85.2710
HNCO                         43.0250       10.7706      -28.3447      -45.3114       56.9352       16.1423      -18.4878      -91.7793       73.2915
CH3NH                        30.0500       11.0879       42.6697       25.9475       56.1149       22.4017       54.8932      -20.8993       75.7925
N2H2                         30.0300        8.3740       47.8470       32.2995       52.1730       15.1373       56.1598       -9.5050       65.6648
H2NN                         30.0300        8.5416       71.9168       56.3820       52.1303       14.6208       80.1729       14.5679       65.6050
NH2OH                        33.0300       11.1035      -10.5048      -27.3231       56.4370       19.1243        0.5203      -73.9626       74.4829
HNOH                         32.0220        9.1362       24.1117        7.4833       55.7999       14.8257       32.8174      -37.2947       70.1120
NH3                          17.0310        8.5139      -10.8878      -24.6148       46.0638       13.4565       -3.1038      -61.9839       58.8800
N2H4                         32.0460       11.5706       22.7444        5.7635       56.9827       22.1267       35.1911      -41.9623       77.1534
N                            14.0070        4.9675      112.9602      102.0434       36.6336        4.9675      116.4474       73.7998       42.6476
NO3                          62.0040       11.2133       17.8329       -0.1562       60.3662       18.3069       29.0235      -49.7809       78.8043
NH                           15.0150        6.9766       85.7430       72.8378       43.3060        7.4744       90.7497       38.8645       51.8852
NNH                          29.0220        8.2105       59.6204       43.6331       53.6485       11.2593       66.4967        1.3725       65.1242
NH2                          16.0230        8.0446       44.4968       30.6203       46.5657       10.1940       50.8276       -6.3955       57.2231
H2NO                         32.0220        9.4096       15.8359       -0.4042       54.4969       14.7294       24.5047      -44.2847       68.7894
N2H3                         31.0380       10.1533       53.7345       36.8728       56.5831       18.3625       64.1616       -9.3981       73.5597
HCN                          27.0260        8.5678       31.0181       16.6462       48.2277       12.0051       38.4397      -22.1800       60.6197
HNC                          27.0260        9.6227       45.8607       31.2264       49.1082       12.0846       53.6102       -8.5768       62.1870
HCNO                         43.0250       11.6104       40.0758       24.0522       53.7705       17.3154       50.7471      -20.7580       71.5051
HOCN                         43.0250       11.0024       -3.6953      -20.8740       57.6468       16.1155        6.1742      -67.8765       74.0507
CH2NO                        44.0330       14.4016       52.5044       35.7634       56.1778       20.2230       64.8620      -11.9196       76.7816
CH3NO                        45.0410       12.1391       16.9083       -1.7070       62.4676       22.7901       29.6483      -53.4650       83.1133
CH3NO2                       61.0400       13.2655      -19.2999      -38.7918       65.4090       28.3416       -3.7682      -94.0915       90.3232
CH3ONO                       61.0400       15.5046      -15.6412      -37.2109       72.3815       27.5225        0.0421      -97.8908       97.9329
CH3ONO2                      77.0390       18.2997      -29.1596      -50.9341       73.0690       34.1766       -9.6321     -114.4196      104.7874
CH3CN                        41.0530       12.4834       17.6922        0.3696       58.1295       23.5308       30.8587      -48.6166       79.4753
CN                           26.0180        6.9676      104.8354       90.4049       48.4247        7.9909      110.0532       52.7610       57.2923
NCN                          40.0250       10.0227      106.5118       90.4318       53.9599       13.7475      115.2131       46.7038       68.5093
NCO                          42.0170        9.5550       30.5975       14.0605       55.4933       13.2949       38.9051      -30.4567       69.3619
HNCN                         41.0330       11.1482       75.4771       57.8683       59.0900       16.4048       85.5197        9.7495       75.7702
H2CN                         28.0340        9.0242       57.0118       41.0389       53.6003       15.1344       65.7558       -2.1680       67.9237
HCNH                         28.0340        9.0968       65.1421       48.8338       54.7259       15.2133       73.9933        4.7576       69.2356
C2N2                         52.0360       13.6398       73.9096       56.6629       57.8751       18.3641       85.4893        8.2020       77.2873
CH2CN                        40.0450       13.0243       62.9220       45.0839       59.8594       20.6296       75.2231       -4.9227       80.1458
CH2NH                        29.0420        9.0993       21.1964        5.4188       52.9450       18.4579       31.2413      -37.8574       69.0987
CH3NH2                       31.0580       11.6663       -4.9988      -21.7560       56.2321       25.8299        8.8065      -69.4689       78.2754
CH2NH2                       30.0500       11.6620       35.5448       18.2553       58.0186       22.3247       48.0550      -30.2400       78.2950
-----------------------------------------------------------------------------------------------------------------------------------------------------

 ====================================================================================================
   THERMO TABLE FOR MOLECULE AR
 ====================================================================================================
   Elemental Composition:
     AR 1.0000
   Formation Enthalpy at 298K =          -0.0007 kcal/mol
   Formation Free Gibbs Energy at 298K = -11.0276 kcal/mol
   Molecular Weight =                    39.9480 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      4.9675        0.0092        -11.1016      37.0360       0.0099        -0.0740       
     600.0000      4.9675        1.4994        -22.7881      40.4792       1.5002        -11.7605      
     800.0000      4.9675        2.4929        -31.0336      41.9082       2.4937        -20.0061      
     1000.0000     4.9675        3.4864        -39.5303      43.0167       3.4872        -28.5027      
     1200.0000     4.9675        4.4799        -48.2269      43.9224       4.4807        -37.1993      
     1400.0000     4.9675        5.4734        -57.0899      44.6881       5.4742        -46.0624      
     1600.0000     4.9675        6.4669        -66.0954      45.3514       6.4677        -55.0678      
     1800.0000     4.9675        7.4604        -75.2253      45.9365       7.4612        -64.1977      
     2000.0000     4.9675        8.4539        -84.4658      46.4599       8.4547        -73.4383      
     2200.0000     4.9675        9.4474        -93.8059      46.9333       9.4482        -82.7784      
     2400.0000     4.9675        10.4409       -103.2364     47.3656       10.4417       -92.2089      
     2600.0000     4.9675        11.4344       -112.7498     47.7632       11.4352       -101.7223     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE N2
 ====================================================================================================
   Elemental Composition:
     N 2.0000
   Formation Enthalpy at 298K =          -0.0010 kcal/mol
   Formation Free Gibbs Energy at 298K = -13.6455 kcal/mol
   Molecular Weight =                    28.0140 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      6.9604        0.0129        -13.7372      45.8335       0.0139        -0.0916       
     600.0000      7.1917        2.1263        -28.2983      50.7077       2.1274        -14.6528      
     800.0000      7.5111        3.5955        -38.6595      52.8187       3.5965        -25.0140      
     1000.0000     7.8072        5.1295        -49.3995      54.5290       5.1305        -35.7540      
     1200.0000     8.0375        6.7147        -60.4535      55.9734       6.7157        -46.8079      
     1400.0000     8.2274        8.3418        -71.7762      57.2272       8.3428        -58.1307      
     1600.0000     8.3824        10.0033       -83.3347      58.3363       10.0043       -69.6892      
     1800.0000     8.5073        11.6927       -95.1031      59.3310       11.6938       -81.4576      
     2000.0000     8.6068        13.4045       -107.0609     60.2327       13.4056       -93.4154      
     2200.0000     8.6851        15.1340       -119.1911     61.0569       15.1351       -105.5455     
     2400.0000     8.7461        16.8774       -131.4793     61.8153       16.8784       -117.8338     
     2600.0000     8.7934        18.6315       -143.9134     62.5173       18.6326       -130.2679     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE HE
 ====================================================================================================
   Elemental Composition:
     HE 1.0000
   Formation Enthalpy at 298K =          -0.0007 kcal/mol
   Formation Free Gibbs Energy at 298K = -8.9842 kcal/mol
   Molecular Weight =                    4.0030 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      4.9675        0.0092        -9.0445       30.1789       0.0099        -0.0603       
     600.0000      4.9675        1.4994        -18.6738      33.6221       1.5002        -9.6897       
     800.0000      4.9675        2.4929        -25.5480      35.0512       2.4937        -16.5638      
     1000.0000     4.9675        3.4864        -32.6732      36.1596       3.4872        -23.6890      
     1200.0000     4.9675        4.4799        -39.9984      37.0653       4.4807        -31.0143      
     1400.0000     4.9675        5.4734        -47.4900      37.8310       5.4742        -38.5059      
     1600.0000     4.9675        6.4669        -55.1240      38.4944       6.4677        -46.1399      
     1800.0000     4.9675        7.4604        -62.8826      39.0795       7.4612        -53.8984      
     2000.0000     4.9675        8.4539        -70.7517      39.6028       8.4547        -61.7676      
     2200.0000     4.9675        9.4475        -78.7204      40.0763       9.4482        -69.7362      
     2400.0000     4.9675        10.4410       -86.7795      40.5085       10.4417       -77.7953      
     2600.0000     4.9675        11.4345       -94.9215      40.9061       11.4352       -85.9373      
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE H2
 ====================================================================================================
   Elemental Composition:
     H 2.0000
   Formation Enthalpy at 298K =          -0.0010 kcal/mol
   Formation Free Gibbs Energy at 298K = -9.3065 kcal/mol
   Molecular Weight =                    2.0160 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      6.8947        0.0128        -9.3690       31.2727       0.0138        -0.0625       
     600.0000      6.9938        2.1084        -19.5586      36.1117       2.1094        -10.2520      
     800.0000      7.0787        3.5130        -26.9922      38.1314       3.5140        -17.6856      
     1000.0000     7.1996        4.9435        -34.7834      39.7269       4.9445        -25.4769      
     1200.0000     7.4256        6.4063        -42.8655      41.0598       6.4073        -33.5589      
     1400.0000     7.6348        7.9126        -51.1960      42.2204       7.9136        -41.8894      
     1600.0000     7.8286        9.4592        -59.7451      43.2527       9.4602        -50.4386      
     1800.0000     8.0084        11.0431       -68.4904      44.1853       11.0442       -59.1839      
     2000.0000     8.1753        12.6617       -77.4139      45.0378       12.6627       -68.1074      
     2200.0000     8.3305        14.3125       -86.5011      45.8244       14.3135       -77.1946      
     2400.0000     8.4750        15.9932       -95.7400      46.5555       15.9942       -86.4334      
     2600.0000     8.6099        17.7018       -105.1202     47.2392       17.7028       -95.8136      
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE H
 ====================================================================================================
   Elemental Composition:
     H 1.0000
   Formation Enthalpy at 298K =          52.0966 kcal/mol
   Formation Free Gibbs Energy at 298K = 43.9276 kcal/mol
   Molecular Weight =                    1.0080 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      4.9675        52.1065       43.8728       27.4459       0.0099        -0.0549       
     600.0000      4.9676        53.5968       35.0633       30.8891       1.5002        -8.8643       
     800.0000      4.9675        54.5903       28.7357       32.3182       2.4937        -15.1919      
     1000.0000     4.9675        55.5838       22.1571       33.4267       3.4872        -21.7705      
     1200.0000     4.9675        56.5773       15.3785       34.3324       4.4807        -28.5491      
     1400.0000     4.9675        57.5708       8.4335        35.0981       5.4742        -35.4942      
     1600.0000     4.9675        58.5643       1.3460        35.7614       6.4677        -42.5816      
     1800.0000     4.9675        59.5578       -5.8659       36.3465       7.4612        -49.7935      
     2000.0000     4.9675        60.5513       -13.1885      36.8699       8.4547        -57.1161      
     2200.0000     4.9675        61.5448       -20.6105      37.3433       9.4482        -64.5382      
     2400.0000     4.9675        62.5383       -28.1230      37.7756       10.4417       -72.0507      
     2600.0000     4.9675        63.5318       -35.7185      38.1732       11.4352       -79.6461      
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE O2
 ====================================================================================================
   Elemental Composition:
     O 2.0000
   Formation Enthalpy at 298K =          -0.0011 kcal/mol
   Formation Free Gibbs Energy at 298K = -14.6100 kcal/mol
   Molecular Weight =                    31.9980 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      7.0229        0.0130        -14.7080      49.0701       0.0140        -0.0981       
     600.0000      7.6666        2.2092        -30.2618      54.1184       2.2103        -15.6519      
     800.0000      8.0642        3.7847        -41.3207      56.3818       3.7858        -26.7108      
     1000.0000     8.3367        5.4260        -52.7859      58.2119       5.4271        -38.1760      
     1200.0000     8.5010        7.1100        -64.5859      59.7466       7.1111        -49.9760      
     1400.0000     8.6529        8.8256        -76.6705      61.0686       8.8266        -62.0605      
     1600.0000     8.7935        10.5704       -89.0029      62.2333       10.5715       -74.3930      
     1800.0000     8.9244        12.3424       -101.5557     63.2767       12.3434       -86.9458      
     2000.0000     9.0464        14.1396       -114.3072     64.2234       14.1406       -99.6972      
     2200.0000     9.1609        15.9604       -127.2398     65.0910       15.9615       -112.6299     
     2400.0000     9.2686        17.8035       -140.3392     65.8928       17.8045       -125.7293     
     2600.0000     9.3704        19.6675       -153.5932     66.6387       19.6685       -138.9833     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE O
 ====================================================================================================
   Elemental Composition:
     O 1.0000
   Formation Enthalpy at 298K =          59.5602 kcal/mol
   Formation Free Gibbs Energy at 298K = 48.0909 kcal/mol
   Molecular Weight =                    15.9990 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      5.2337        59.5707       48.0139       38.5226       0.0105        -0.0770       
     600.0000      5.0512        61.1046       35.8602       42.0740       1.5445        -12.2306      
     800.0000      5.0151        62.1112       27.2935       43.5221       2.5510        -20.7973      
     1000.0000     5.0027        63.1119       18.4733       44.6387       3.5517        -29.6176      
     1200.0000     4.9932        64.1115       9.4516        45.5499       4.5513        -38.6393      
     1400.0000     4.9854        65.1093       0.2627        46.3190       5.5491        -47.8281      
     1600.0000     4.9798        66.1058       -9.0691       46.9843       6.5456        -57.1600      
     1800.0000     4.9762        67.1013       -18.5257      47.5706       7.5412        -66.6166      
